"Sample"	"Number Read"	"Mapped Read (%)"	"Mapped converted (%)"	"Mapped converted 40mapq (%)"	"Methylation CpG (%)"	"Methylation nonCpG (%)"	"Depth of CpG (X)"	"Depth of CpG with full read (X)"	"No. CpG dropout"	"No. Amplicon dropout"	"No. CpG dropout with full read"	"No. Amplicon dropout with full read"
"059-C8-2102"	2123866	100	99.99	86.5	"28.0"	"0.6"	103750.5	100767.56	"0/113"	"0/18"	"0/114"	"0/18"
"060-D8-1651"	1815329	100	99.98	86.94	"24.5"	"0.5"	88769.44	86610.11	"0/113"	"0/18"	"0/114"	"0/18"
"061-E8-891"	1468361	100	99.99	87.2	"9.6"	"0.4"	71546.06	70281.11	"0/113"	"0/18"	"0/114"	"0/18"
"062-F8-2114"	2329287	100	99.99	86.7	"16.7"	"0.4"	113211.67	110886.72	"0/113"	"0/18"	"0/114"	"0/18"
"063-G8-2175"	1644261	100	99.97	86.95	"36.6"	"0.5"	80531.17	78554.44	"0/113"	"0/18"	"0/114"	"0/18"
"064-H8-1856"	1477026	100	99.99	86.2	"20.4"	"0.6"	71923.33	69796.06	"0/113"	"0/18"	"0/114"	"0/18"
"065-A9-2107"	2067687	100	100	86.79	"27.9"	"0.4"	100775	98527.06	"0/113"	"0/18"	"0/114"	"0/18"
"066-B9-540"	1391792	100	99.99	87.49	"46.3"	"0.4"	68741.39	66818.78	"0/113"	"0/18"	"0/114"	"0/18"
"067-C9-1808"	2429094	100	99.96	85.97	"38.2"	"0.5"	118239.67	114628.39	"0/113"	"0/18"	"0/114"	"0/18"
"068-D9-2424"	1181104	100	99.98	85.69	"35.7"	"0.7"	57499.22	55523.94	"0/113"	"0/18"	"0/114"	"0/18"
"069-E9-2428"	2185598	100	99.99	86.15	"61.8"	"0.5"	106099.22	103157.11	"0/113"	"0/18"	"0/114"	"0/18"
"070-F9-2321"	2346329	100	99.99	86.54	"38.0"	"0.6"	115165.72	111577.83	"0/113"	"0/18"	"0/114"	"0/18"
"071-G9-897"	2472560	100	99.98	86.87	"61.4"	"0.6"	121446.06	118073.17	"0/113"	"0/18"	"0/114"	"0/18"
"072-H9-933"	2268867	100	99.98	86.39	"26.8"	"0.6"	110730.5	107672.67	"0/113"	"0/18"	"0/114"	"0/18"
"073-A10-924"	1904200	100	100	86.66	"32.6"	"0.4"	92907.5	90594.5	"0/113"	"0/18"	"0/114"	"0/18"
"074-B10-2313"	2375136	100	99.98	86.25	"61.6"	"0.5"	116082.39	112316.89	"0/113"	"0/18"	"0/114"	"0/18"
"075-C10-1218"	2762664	100	99.99	86.61	"66.3"	"0.5"	136168.17	131265.89	"0/113"	"0/18"	"0/114"	"0/18"
"076-D10-1603"	2591008	100	99.99	86.75	"76.2"	"0.3"	126815.28	123077.56	"0/113"	"0/18"	"0/114"	"0/18"
"077-E10-1256"	2403482	100	99.91	86.57	"26.7"	"0.4"	117147.72	114319.5	"0/113"	"0/18"	"0/114"	"0/18"
"078-F10-904"	1862723	100	100	87.48	"34.5"	"0.3"	91181.56	89398.78	"0/113"	"0/18"	"0/114"	"0/18"
"079-G10-1894"	2730233	100	99.99	86.98	"12.7"	"0.5"	134081.5	130255.94	"0/113"	"0/18"	"0/114"	"0/18"
"080-H10-2246"	1989704	100	100	86.42	"33.2"	"0.4"	96921.61	94310	"0/113"	"0/18"	"0/114"	"0/18"
"081-A11-2316"	2850504	100	99.99	86.32	"19.4"	"0.5"	138761.44	134970.94	"0/113"	"0/18"	"0/114"	"0/18"
"082-B11-2127"	1756977	100	99.98	86.23	"15.4"	"0.5"	85555	83204.39	"0/113"	"0/18"	"0/114"	"0/18"
"083-C11-2466"	2629884	100	99.98	86.14	"27.8"	"0.5"	127625.89	124212.39	"0/113"	"0/18"	"0/114"	"0/18"
"084-D11-448"	2731874	100	99.97	86.17	"41.2"	"0.7"	134338.56	129163.33	"0/113"	"0/18"	"0/114"	"0/18"
"085-E11-2510"	2512107	100	99.99	86.13	"34.3"	"0.5"	122483	118888.11	"0/113"	"0/18"	"0/114"	"0/18"
"086-F11-613"	2959663	100	99.95	86.5	"8.3"	"0.5"	144396.22	140657.28	"0/113"	"0/18"	"0/114"	"0/18"
"087-G11-2144"	2792149	100	99.99	85.57	"22.7"	"0.5"	135063.61	130825.67	"0/113"	"0/18"	"0/114"	"0/18"
"088-H11-1754"	1649708	100	100	86.01	"36.5"	"0.4"	80129.61	77939.78	"0/113"	"0/18"	"0/114"	"0/18"
"089-A12-1916"	2715331	100	99.99	86.84	"12.5"	"0.5"	132898.06	129534.72	"0/113"	"0/18"	"0/114"	"0/18"
"090-B12-1619"	2551355	100	99.99	87.2	"46.3"	"0.5"	124963.5	122271.39	"0/113"	"0/18"	"0/114"	"0/18"
"091-C12-2603"	3016170	100	99.99	87.7	"26.0"	"0.5"	149284.83	145226.39	"0/113"	"0/18"	"0/114"	"0/18"
"092-D12-1826"	2496492	100	99.99	86.94	"18.7"	"0.5"	122081.78	119147.56	"0/113"	"0/18"	"0/114"	"0/18"
"093-E12-2607"	2546030	100	99.99	86.95	"41.8"	"0.7"	125329.5	121494.22	"0/113"	"0/18"	"0/114"	"0/18"
"094-F12-1376"	2518470	100	99.97	86.88	"30.1"	"0.5"	123697.17	120181.5	"0/113"	"0/18"	"0/114"	"0/18"
"095-G12-2452"	2361521	100	99.95	86.53	"47.2"	"0.6"	116269.33	112211.83	"0/113"	"0/18"	"0/114"	"0/18"
"096-H12-2393"	2382794	100	99.95	86.52	"38.2"	"0.6"	117265.06	113098.89	"0/113"	"0/18"	"0/114"	"0/18"
